risk_id,project_id,project_code,risk_code,category,description,trigger,likelihood,impact,score,response_type,owner_person_id,owner_name,department,due_date,status,residual_score,compliance_flag
e2cf9b00-94d1-5054-a685-20d11b487e8d,777ea2a7-20e0-5b0d-a53b-ba290af326fc,THG-RND-007,R-007,Regulatory,HIPAA audit finding on access controls,,4,4,16,Accept,9b478123-7b4f-5756-a5fb-d912cbdb6589,James Whitfield,Regulatory / Quality,,Closed,8,HIPAA
c35c272a-8e6a-510f-94c8-355ea25c0aa8,5e8efc63-4e18-5155-a82f-8e3539c74478,THG-IT-003,R-001,Regulatory,Regulatory submission rejected or delayed by FDA feedback cycle,,1,3,3,Transfer,4c3359c7-f508-523c-9f70-e111c84a62e3,Sam Delgado,IT / Data / Security,2026-05-02,Open,,FDA 21 CFR Part 11
6ce966d0-c361-506b-b457-b052a849cd3f,5e8efc63-4e18-5155-a82f-8e3539c74478,THG-IT-003,R-002,Schedule,Site activation slower than planned in two regions,,3,5,15,Transfer,2319435a-2e81-5b0e-ba4e-33a5b1a93f08,Chloe Barnett,IT / Data / Security,2026-06-21,Open,,None
4acd2acf-3a9e-52a3-844f-5859dd001f5c,5e8efc63-4e18-5155-a82f-8e3539c74478,THG-IT-003,R-003,Schedule,Key resource availability conflicts with parallel programs,,2,2,4,Transfer,9b478123-7b4f-5756-a5fb-d912cbdb6589,James Whitfield,Regulatory / Quality,2026-07-14,Open,,None
ae5e5808-4d7a-5a26-a298-df04c9c4a1a1,5e8efc63-4e18-5155-a82f-8e3539c74478,THG-IT-003,R-004,Vendor,Vendor deliverable slips beyond contractual window,,4,4,16,Transfer,6ac3503b-a8a2-5b42-bda9-e82dc9b054d3,Isabel Fonseca,Operations / PMO,2026-05-12,Mitigating,7,None
30ff221d-3362-5b80-8318-4202af2672b6,5e8efc63-4e18-5155-a82f-8e3539c74478,THG-IT-003,R-005,Technical,Data migration validation uncovers PHI mapping errors,,3,2,6,Transfer,7144f78b-3f33-5800-bd7f-f894b15e01aa,Grace Mwangi,Operations / PMO,,Closed,2,HIPAA
6fd02420-6847-5b92-a8a5-c8de29371ae4,5e8efc63-4e18-5155-a82f-8e3539c74478,THG-IT-003,R-006,Technical,Integration defects discovered late in verification,,3,3,9,Transfer,7144f78b-3f33-5800-bd7f-f894b15e01aa,Grace Mwangi,Operations / PMO,,Realized,,None
fbafd04d-d438-5b7b-b8c2-1e47b7704af3,b30b6540-32d7-52cb-b101-bf086d4dc18d,THG-OPS-009,R-001,Schedule,Key resource availability conflicts with parallel programs,,3,2,6,Transfer,7144f78b-3f33-5800-bd7f-f894b15e01aa,Grace Mwangi,Operations / PMO,,Closed,1,None
fb622362-565c-556f-bbbe-fc4d431636ea,b30b6540-32d7-52cb-b101-bf086d4dc18d,THG-OPS-009,R-002,Regulatory,HIPAA audit finding on access controls,,3,5,15,Mitigate,11037be3-710e-5a2e-a7f0-fadee2eb6fdc,Tom Becker,Operations / PMO,,Closed,5,HIPAA
2f748229-247e-5330-a5cb-10236017a2f5,b30b6540-32d7-52cb-b101-bf086d4dc18d,THG-OPS-009,R-003,People,Attrition of specialized engineering talent mid-project,,3,4,12,Transfer,7144f78b-3f33-5800-bd7f-f894b15e01aa,Grace Mwangi,Operations / PMO,2026-08-28,Mitigating,4,None
900b5e72-29ae-5f13-9d7d-9effd51df0da,b30b6540-32d7-52cb-b101-bf086d4dc18d,THG-OPS-009,R-004,Safety,Adverse event reporting threshold reached during study,,4,5,20,Mitigate,9b478123-7b4f-5756-a5fb-d912cbdb6589,James Whitfield,Regulatory / Quality,,Closed,15,GxP
a31b1968-1f6c-5ddf-8b85-2ef896f8d719,b30b6540-32d7-52cb-b101-bf086d4dc18d,THG-OPS-009,R-005,Schedule,Site activation slower than planned in two regions,,3,5,15,Accept,6ac3503b-a8a2-5b42-bda9-e82dc9b054d3,Isabel Fonseca,Operations / PMO,,Closed,6,None
e6ac5a28-37d8-5287-bffa-3e5ffdf60452,c95418d9-fdc3-5832-bd7f-dc24031e37e3,THG-REG-005,R-001,Vendor,Vendor deliverable slips beyond contractual window,,1,5,5,Mitigate,6ac3503b-a8a2-5b42-bda9-e82dc9b054d3,Isabel Fonseca,Operations / PMO,,Monitoring,2,None
ebe6cdac-7e44-5d2b-b8e1-3f0c26232952,c95418d9-fdc3-5832-bd7f-dc24031e37e3,THG-REG-005,R-002,Technical,Integration defects discovered late in verification,,4,3,12,Avoid,16f1836e-598b-52bc-8d14-4814cbacee42,Anna Lindqvist,Regulatory / Quality,,Closed,7,None
311df2a1-fd27-56ee-b5c2-5a25d5d2d9b4,c95418d9-fdc3-5832-bd7f-dc24031e37e3,THG-REG-005,R-003,Cost,Material costs exceed estimate due to supplier price increases,,4,4,16,Avoid,9b478123-7b4f-5756-a5fb-d912cbdb6589,James Whitfield,Regulatory / Quality,,Closed,14,None
a2f0b356-82f3-55e4-b9cd-a172aac149f9,c95418d9-fdc3-5832-bd7f-dc24031e37e3,THG-REG-005,R-004,Technical,Data migration validation uncovers PHI mapping errors,,5,5,25,Accept,6a0700d0-18fe-5f73-95b1-02d3edc6b753,Priya Nair,Regulatory / Quality,,Closed,16,HIPAA
dcf92603-3c15-51a4-b24d-db13bb862e49,c9fb69ea-3e4b-53c4-8707-6697185b54c3,THG-COM-002,R-001,Technical,Data migration validation uncovers PHI mapping errors,,2,3,6,Avoid,6ac3503b-a8a2-5b42-bda9-e82dc9b054d3,Isabel Fonseca,Operations / PMO,,Monitoring,1,HIPAA
76344db5-e493-5617-9cf0-9cb00289926d,c9fb69ea-3e4b-53c4-8707-6697185b54c3,THG-COM-002,R-002,Safety,Adverse event reporting threshold reached during study,,1,3,3,Accept,55aad255-0b8f-5ad1-96f2-0727c92643e9,Olivia Marsh,Commercial / Marketing,2026-05-27,Mitigating,1,GxP
caf95576-21d3-54ab-95fa-a866b96f4cc4,c9fb69ea-3e4b-53c4-8707-6697185b54c3,THG-COM-002,R-003,Regulatory,HIPAA audit finding on access controls,,4,4,16,Avoid,55aad255-0b8f-5ad1-96f2-0727c92643e9,Olivia Marsh,Commercial / Marketing,2026-08-07,Mitigating,8,HIPAA
967ee34f-b0db-5b9c-9436-a54e011c8f20,c9fb69ea-3e4b-53c4-8707-6697185b54c3,THG-COM-002,R-004,People,Attrition of specialized engineering talent mid-project,,1,5,5,Mitigate,55aad255-0b8f-5ad1-96f2-0727c92643e9,Olivia Marsh,Commercial / Marketing,,Realized,,None
